;;2000;3000;5000;2000;3000;5000;2000;3000;5000
0.4;;6.6;7;5.1;27.4;18.7;12.2;6.3;5.7;5.5
0.45;;6.5;5.2;4.6;27.6;18;12.7;5.1;6.8;4.8
0.5;;5.8;4.8;5.5;29.2;19.9;14.8;6.9;5.1;5.2
0.55;;4.9;5.6;4.9;30.9;22.2;15.4;5.7;5.4;5.5
0.6;;6.4;5.7;5.1;34.2;23.6;16.4;5.5;6.3;5
0.65;;5.3;5.5;5.5;39.6;29;19.2;5.1;6.1;5.6
0.7;;5.9;5;5.4;43.4;31.6;22.2;6;5.5;4.9
0.75;;5.8;5.5;5.2;51.8;37.6;26.9;5.3;6.5;5.5
0.8;;5.8;4.9;5.2;62.3;46;33.7;6.1;6.3;5.1
0.85;;5.9;5.3;6;73.2;58.8;40.8;8.1;5.7;5.3
0.9;;5.8;5.4;4.5;88.8;75.1;57.7;9.8;8;7.5
