"";"2000";"3000";"5000"
"0.4";9,4;10,6;9,9
"0.45";10,5;8,5;11,8
"0.5";10,6;9,2;8,4
"0.55";9,1;9,7;11
"0.6";10,3;10;9,3
"0.65";10,8;9,2;9,6
"0.7";12,7;10,8;11,6
"0.75";10,5;11,4;10,2
"0.8";12,5;10,4;10
"0.85";14,8;11,2;11,5
"0.9";18,7;15,2;13,4
