;2000;3000;5000
0.4;5.9;5.3;5.8
0.45;5.9;5.9;5.4
0.5;6;6.2;5.1
0.55;6.7;5.4;3.9
0.6;5.9;5;5.9
0.65;5.4;5.9;5.1
0.7;6.2;6;4.8
0.75;5.7;5.1;6.3
0.8;6.3;6.2;4.8
0.85;6.2;5.3;4.3
0.9;7.2;5.1;6.3
