;2000;3000;5000
0.4;4.7;5.3;5
0.45;5.2;4.2;5.9
0.5;5.3;4.6;4.2
0.55;4.5;4.9;5.5
0.6;5.1;5;4.7
0.65;5.4;4.6;4.8
0.7;6.3;5.4;5.8
0.75;5.2;5.7;5.1
0.8;6.2;5.2;5
0.85;7.4;5.6;5.8
0.9;9.3;7.6;6.7
